account_code,funding_office_code,office_name,agency_code,agency_name,years_active,years_present,office_share_mean,office_share_latest,office_share_cv,award_avg_usd,contract_share_mean,contract_share_latest,contract_share_cv,contract_share_capped,cs_years,confidence,py_pace_p02,py_pace_p03,py_pace_p04,py_pace_p05,py_pace_p06,py_pace_p07,py_pace_p08,py_pace_p09,py_pace_p10,py_pace_p11,py_pace_p12
005-0107,050001,US GAO OI TEAM,005,Government Accountability Office,5,5,0.033657,-0.00031,2.0515,3689626.0,0.141121,0.12438,0.0929,No,5.0,Low,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,050010,US GAO IO TEAM,005,Government Accountability Office,5,5,0.102215,0.100082,0.3603,11644633.0,0.141121,0.12438,0.0929,No,5.0,Medium,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,050ARM,US GAO ARM TEAM,005,Government Accountability Office,5,5,0.016604,0.02641,0.6544,2019515.0,0.141121,0.12438,0.0929,No,5.0,Medium,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,050FMA,US GAO FMA TEAM,005,Government Accountability Office,5,5,0.009064,0.018569,1.0047,1080706.0,0.141121,0.12438,0.0929,No,5.0,Low,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,050HC0,US GAO HCO TEAM,005,Government Accountability Office,5,5,0.012814,0.010253,0.8009,1421349.0,0.141121,0.12438,0.0929,No,5.0,Low,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,051STS,US GAO ISTS TEAM,005,Government Accountability Office,5,5,0.44881,0.531689,0.3334,53276140.0,0.141121,0.12438,0.0929,No,5.0,High,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,05ARML,US GAO ARM LIBRARY,005,Government Accountability Office,5,5,0.019858,0.003005,0.7966,2228590.0,0.141121,0.12438,0.0929,No,5.0,Low,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,05GA0A,GOVERNMENT ACCOUNTABILITY OFFICE,005,Government Accountability Office,5,5,0.31467,0.246152,0.1988,36706816.0,0.141121,0.12438,0.0929,No,5.0,High,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
005-0107,05STAA,US GAO STAA TEAM,005,Government Accountability Office,5,5,0.038272,0.052952,0.5624,4644785.0,0.141121,0.12438,0.0929,No,5.0,Medium,0.135154,0.205314,0.289984,0.37958,0.453218,0.505461,0.587976,0.653267,0.746408,0.810689,0.892612
010-0930,103299,AOUSC-PROCUREMENT MANAGEMENT DIV,010,The Judicial Branch,5,2,0.353547,0.0,1.3798,181159427.0,0.888589,0.938948,0.0354,No,5.0,Low,0.209506,0.345041,0.363764,0.373067,0.761807,0.770796,0.778714,0.815936,0.833624,0.844955,0.905677
010-0930,1033D3,US COURTS,010,The Judicial Branch,5,5,0.604915,0.975788,0.7768,360167147.0,0.888589,0.938948,0.0354,No,5.0,Low,0.209506,0.345041,0.363764,0.373067,0.761807,0.770796,0.778714,0.815936,0.833624,0.844955,0.905677
010-0930,15M105,"PROCUREMENT DIVISION, CSS",015,Department of Justice,5,4,0.024418,0.001555,2.125,14634900.0,0.888589,0.938948,0.0354,No,5.0,Low,0.209506,0.345041,0.363764,0.373067,0.761807,0.770796,0.778714,0.815936,0.833624,0.844955,0.905677
